#{"t_start": 1715853899.044204, "env_id": "None"}
r,l,t
51.945312,200,1.114784
21.09375,200,1.223013
25.417969,200,1.327233
76.40625,200,1.439442
61.90625,200,1.5499
76.78125,200,1.718989
65.46875,200,1.826017
74.25,200,1.931311
60.09375,200,2.0487
64.78125,200,2.15463
51.15625,200,3.156125
39.5,200,3.270116
69.109375,200,3.374813
97.0625,200,3.476939
69.734375,200,3.591401
74.375,200,3.720912
10.796875,200,3.831293
76.5,200,3.940114
26.1875,200,4.057653
40.125,200,4.180587
13.5625,200,5.30732
69.585937,200,5.427681
58.96875,200,5.53595
65.90625,200,5.654377
60.46875,200,5.784536
42.226562,200,5.911551
45.578125,200,6.027881
57.65625,200,6.145238
26.265625,200,6.25289
60.28125,200,6.358802
61.457031,200,7.408894
56.71875,200,7.541573
16.125,200,7.660096
50.636719,200,7.777487
67.53125,200,7.889212
46.257813,200,8.001089
49.6875,200,8.108294
84.851562,200,8.214403
45.3125,200,8.317439
56.34375,200,8.424608
74.117188,200,9.388331
35.34375,200,9.49419
60.21875,200,9.597746
63.5,200,9.695521
79.875,200,9.791619
36.53125,200,9.900592
78.742188,200,9.997923
83.1875,200,10.09937
79.25,200,10.19821
75.625,200,10.296547
53.693359,200,10.401343
69.3125,200,11.44551
60.9375,200,11.549515
34.75,200,11.64544
24.035156,200,11.747249
84.171875,200,11.85571
87.5,200,11.955974
80.609375,200,12.066125
31.5,200,12.166243
48.65625,200,12.264941
48.5,200,12.376684
70.875,200,13.33749
42.90625,200,13.443396
66.0,200,13.549199
71.03125,200,13.647829
55.65625,200,13.760866
65.46875,200,13.861338
59.0625,200,13.958323
31.5625,200,14.058282
64.46875,200,14.156239
44.75,200,14.265561
2.640625,200,15.216052
43.023438,200,15.32419
56.144531,200,15.428129
51.46875,200,15.52566
55.09375,200,15.632177
59.859375,200,15.731583
42.757812,200,15.828557
55.897461,200,15.923167
59.8125,200,16.027959
44.824219,200,16.1326
71.9375,200,17.080871
28.632812,200,17.187165
55.195312,200,17.292218
71.78125,200,17.393282
64.75,200,17.501649
50.589844,200,17.598935
51.304687,200,17.695678
89.914063,200,17.795718
61.25,200,17.895513
33.0625,200,18.001805
79.328125,200,18.099765
