#{"t_start": 1716280825.8750238, "env_id": "None"}
r,l,t
60.1875,100,0.92983
47.25,100,1.004051
28.5625,100,1.077258
50.25,100,1.146369
65.5,100,1.219519
67.1875,100,1.2914
11.71875,100,1.365885
43.875,100,1.441296
16.734375,100,1.51655
31.25,100,1.585361
16.5,100,1.729728
24.25,100,1.798409
64.5,100,1.873018
8.40625,100,1.951952
36.0,100,2.029506
30.25,100,2.104886
22.5625,100,2.188925
41.5,100,2.271241
47.375,100,2.347171
26.125,100,2.419817
39.5,100,4.011476
19.742188,100,4.163103
31.5,100,4.241905
49.25,100,4.322535
20.8125,100,4.400705
2.25,100,4.482578
43.484375,100,4.563924
5.84375,100,4.64707
46.25,100,4.727627
30.625,100,4.815805
50.875,100,4.914615
32.84375,100,5.004173
13.421875,100,5.098672
60.25,100,5.192909
58.5,100,5.291728
41.625,100,5.390149
43.53125,100,5.476328
26.5625,100,5.576364
49.53125,100,5.670601
40.8125,100,5.77442
16.34375,100,7.518927
57.8125,100,7.617869
16.710938,100,7.734304
59.1875,100,7.823831
37.375,100,7.912863
32.75,100,8.004873
36.0,100,8.094072
40.1875,100,8.180537
38.375,100,8.267128
39.75,100,8.351753
59.0,100,8.446628
50.8125,100,8.530754
51.75,100,8.619881
29.6875,100,8.718258
38.25,100,8.833079
46.9375,100,8.950669
44.96875,100,9.074642
57.25,100,9.195511
47.15625,100,9.317991
46.25,100,9.435397
16.75,100,9.561224
51.75,100,11.322471
47.0,100,11.418521
43.8125,100,11.577637
32.625,100,11.670315
44.75,100,11.771293
12.3125,100,11.866513
40.28125,100,11.960193
27.625,100,12.054362
34.6875,100,12.148716
32.75,100,12.257804
76.125,100,12.353439
32.25,100,12.444806
37.0,100,12.540493
41.625,100,12.649181
27.0,100,12.767448
56.5,100,12.889327
22.8125,100,13.003129
17.25,100,13.127724
17.5625,100,13.253325
33.625,100,13.392738
43.625,100,15.282194
43.375,100,15.391381
34.1875,100,15.489964
29.75,100,15.579585
48.0,100,15.670899
58.28125,100,15.762007
29.0,100,15.847795
58.0,100,15.936685
6.0,100,16.024843
56.125,100,16.122124
53.0,100,16.211904
11.125,100,16.30152
43.03125,100,16.388472
50.0,100,16.496662
32.0625,100,16.599183
10.5,100,16.687606
21.25,100,16.784878
38.0,100,16.879301
45.5,100,16.973929
48.75,100,17.082632
36.65625,100,17.174081
55.75,100,18.950358
51.0625,100,19.053069
49.96875,100,19.144473
54.375,100,19.240063
2.5,100,19.334965
27.4375,100,19.427698
38.5,100,19.521481
55.0,100,19.618108
49.75,100,19.723321
47.25,100,19.819176
57.0,100,19.923362
24.8125,100,20.026426
31.875,100,20.139827
52.5,100,20.267001
40.0,100,20.387065
22.625,100,20.500729
54.4375,100,20.615195
45.25,100,20.716219
38.5,100,20.836312
29.75,100,20.943118
38.0,100,22.727822
28.0,100,22.840046
34.875,100,22.957637
77.375,100,23.058194
47.625,100,23.156993
18.841797,100,23.255457
53.3125,100,23.353248
30.875,100,23.44977
42.84375,100,23.556598
18.0,100,23.655015
3.5,100,23.763472
37.75,100,23.869657
16.25,100,23.992042
64.5,100,24.115794
49.0,100,24.252075
37.5,100,24.367955
37.625,100,24.490047
30.25,100,24.607156
53.9375,100,24.736959
67.0,100,24.855118
41.0625,100,25.039114
46.0,100,27.285123
53.75,100,27.417613
18.125,100,27.537148
52.75,100,27.65127
22.75,100,27.756734
43.75,100,27.854312
30.875,100,27.956278
31.0,100,28.160674
5.125,100,28.270184
25.5,100,28.370925
24.5625,100,28.473287
37.625,100,28.579771
46.0,100,28.692529
55.0,100,28.804297
31.25,100,28.935661
47.8125,100,29.058176
28.5,100,29.190368
16.25,100,29.332725
48.375,100,29.457045
19.4375,100,29.572135
41.0,100,31.58988
46.25,100,31.704627
51.4375,100,31.812643
39.25,100,31.909651
41.8125,100,32.007459
46.3125,100,32.106834
67.375,100,32.209261
33.0625,100,32.318809
49.375,100,32.418037
54.625,100,32.516587
48.8125,100,32.616536
49.25,100,32.718539
38.5,100,32.837669
61.75,100,32.970118
51.4375,100,33.088148
9.625,100,33.214321
61.25,100,33.340753
25.9375,100,33.481521
12.21875,100,33.607922
44.6875,100,33.73391
49.0,100,33.929375
32.125,100,35.982443
47.25,100,36.097162
45.207031,100,36.20068
42.875,100,36.304219
23.875,100,36.402126
42.71875,100,36.502294
20.75,100,36.611119
51.0,100,36.72409
44.3125,100,36.817649
20.851562,100,36.909841
58.75,100,37.006327
32.0,100,37.100323
32.3125,100,37.201262
29.25,100,37.304625
47.625,100,37.415062
45.0,100,37.520479
42.25,100,37.643446
32.9375,100,37.750946
36.0,100,37.852689
39.0,100,37.958989
51.5,100,39.931421
50.5625,100,40.053465
64.375,100,40.202658
59.0,100,40.297754
16.75,100,40.392453
41.75,100,40.486737
61.75,100,40.590696
21.625,100,40.691619
66.125,100,40.792537
55.25,100,40.896031
38.0,100,40.991028
64.625,100,41.093252
32.65625,100,41.190262
46.71875,100,41.303202
54.125,100,41.41633
24.75,100,41.536435
43.75,100,41.666177
48.875,100,41.776053
49.8125,100,41.878774
57.0,100,41.989158
58.625,100,42.094971
49.75,100,43.886492
49.4375,100,44.005594
36.0,100,44.100007
49.1875,100,44.195732
28.25,100,44.28477
36.5625,100,44.384545
45.0,100,44.474818
46.0,100,44.572269
36.5,100,44.662395
61.625,100,44.750309
43.875,100,44.840445
39.34375,100,44.931394
56.5,100,45.027668
30.25,100,45.159583
66.75,100,45.297144
52.25,100,45.416641
41.25,100,45.532336
49.1875,100,45.639538
38.125,100,45.738269
42.75,100,45.835667
