#{"t_start": 1716280899.813845, "env_id": "None"}
r,l,t
29.25,100,1.4585
7.609375,100,1.542378
39.4375,100,1.632074
47.5625,100,1.72597
30.96875,100,1.82297
26.484375,100,1.935496
41.625,100,2.049561
50.75,100,2.16359
47.5,100,2.272951
19.25,100,2.386279
45.625,100,2.652163
44.125,100,2.763166
56.875,100,2.877883
41.25,100,2.989308
54.5,100,3.10136
50.875,100,3.206688
28.0,100,3.326385
33.851562,100,3.453568
61.3125,100,3.585682
69.25,100,3.828145
25.5,100,6.357499
20.570312,100,6.459626
61.25,100,6.551638
55.6875,100,6.659916
50.625,100,6.774556
40.40625,100,6.888019
13.484375,100,7.007056
65.0,100,7.114198
54.375,100,7.231454
47.03125,100,7.345334
48.5625,100,7.514222
49.25,100,7.64038
53.09375,100,7.75876
42.75,100,7.878497
41.75,100,7.997028
48.1875,100,8.114704
19.375,100,8.234772
41.625,100,8.357736
36.4375,100,8.492883
42.0,100,8.611028
24.0,100,11.057529
33.484375,100,11.172859
50.25,100,11.296971
63.9375,100,11.409762
72.5625,100,11.531057
48.0,100,11.638505
49.25,100,11.751256
41.4375,100,11.870544
52.5625,100,12.00012
24.6875,100,12.134627
51.375,100,12.300236
53.9375,100,12.434394
8.625,100,12.565764
46.625,100,12.69054
57.25,100,12.819291
36.5,100,12.94416
55.625,100,13.069331
58.8125,100,13.201307
35.03125,100,13.331135
21.75,100,13.448219
40.3125,100,13.589223
20.65625,100,16.137512
38.34375,100,16.263313
47.75,100,16.389521
49.0,100,16.504935
24.875,100,16.625671
35.625,100,16.754891
31.0,100,16.883281
30.65625,100,17.005542
51.75,100,17.140143
52.875,100,17.290295
49.0,100,17.420109
26.484375,100,17.550832
41.75,100,17.673002
36.25,100,17.801844
40.875,100,17.917311
32.296875,100,18.025482
23.3125,100,18.142205
28.25,100,18.247685
36.75,100,18.374679
48.5,100,18.51205
45.0,100,21.030692
35.375,100,21.158506
45.125,100,21.288638
39.125,100,21.403407
58.625,100,21.518187
46.25,100,21.652389
41.375,100,21.780871
43.125,100,21.915349
53.5,100,22.030191
25.5,100,22.163759
56.875,100,22.291363
51.5,100,22.406808
54.875,100,22.540337
53.90625,100,22.669813
37.125,100,22.790046
