#{"t_start": 1716289790.965983, "env_id": "None"}
r,l,t
30.5,100,1.362403
-13.75,100,1.46529
52.25,100,1.554289
29.09375,100,1.642103
21.375,100,1.734267
43.5,100,1.822641
12.625,100,1.905175
16.640625,100,1.992721
52.375,100,2.076499
69.25,100,2.159986
38.09375,100,2.345988
0.46875,100,2.430364
31.375,100,2.516591
37.125,100,2.6026
30.0625,100,2.685521
36.125,100,2.776862
41.75,100,2.860166
29.25,100,2.939427
29.75,100,3.023991
42.171875,100,3.105628
47.875,100,4.915409
69.0,100,5.027162
24.75,100,5.113471
44.5,100,5.19265
49.375,100,5.275429
47.875,100,5.358708
46.5,100,5.445852
45.5,100,5.525574
34.0,100,5.607887
45.8125,100,5.691021
-16.5625,100,5.796496
45.875,100,5.883648
35.25,100,5.968797
51.125,100,6.048556
29.375,100,6.131545
56.25,100,6.214948
52.75,100,6.307707
33.0625,100,6.402237
65.25,100,6.492778
20.84375,100,6.575613
53.53125,100,8.465104
27.125,100,8.576812
41.125,100,8.67885
39.5,100,8.772244
54.75,100,8.862308
46.3125,100,8.952775
59.875,100,9.038045
49.125,100,9.13013
42.59375,100,9.213339
47.75,100,9.369047
33.625,100,9.505049
41.25,100,9.598902
54.6875,100,9.690978
22.15625,100,9.780654
29.5,100,9.865217
51.0,100,9.959987
33.5,100,10.060831
66.3125,100,10.177835
51.75,100,10.279578
56.875,100,10.377459
17.875,100,10.509435
45.9375,100,12.498212
44.0,100,12.617278
65.25,100,12.717481
47.0,100,12.827439
32.6875,100,12.927539
39.375,100,13.03521
34.5,100,13.130234
46.5,100,13.222042
44.75,100,13.320579
27.625,100,13.446064
23.5625,100,13.540291
29.75,100,13.626763
29.0,100,13.716708
42.125,100,13.803875
59.5625,100,13.909007
47.75,100,14.00451
31.25,100,14.100277
26.875,100,14.189789
54.5,100,14.283814
48.75,100,14.468963
45.9375,100,16.335704
37.75,100,16.46429
42.25,100,16.568198
66.25,100,16.660479
45.125,100,16.756672
18.5,100,16.852427
48.625,100,16.945104
44.875,100,17.043602
58.8125,100,17.144793
