#{"t_start": 1716280797.20065, "env_id": "None"}
r,l,t
43.1875,100,0.716801
1.5,100,0.775364
24.125,100,0.829057
2.875,100,0.880942
66.5,100,0.940139
5.6875,100,0.997994
42.6875,100,1.078082
25.71875,100,1.182588
4.828125,100,1.266625
30.5,100,1.332833
-5.875,100,1.454288
-6.421875,100,1.516231
56.375,100,1.572453
16.09375,100,1.626026
34.5,100,1.680838
23.0,100,1.732564
-2.25,100,1.783616
-4.125,100,1.838037
4.25,100,1.893053
13.375,100,1.949825
48.125,100,3.159553
22.03125,100,3.223312
45.25,100,3.2779
52.125,100,3.334369
12.96875,100,3.39656
34.4375,100,3.453058
36.0,100,3.515858
50.125,100,3.574158
58.0,100,3.634083
34.75,100,3.689949
28.78125,100,3.76527
24.90625,100,3.82449
-0.625,100,3.880686
15.21875,100,3.932096
30.6875,100,3.982681
33.8125,100,4.033275
64.5,100,4.08915
31.0,100,4.146143
39.875,100,4.198864
60.625,100,4.254525
53.25,100,5.384519
27.4375,100,5.449848
60.375,100,5.511443
41.71875,100,5.573973
33.25,100,5.635965
33.71875,100,5.692318
42.25,100,5.74492
47.5,100,5.7995
46.5,100,5.859293
16.75,100,5.919315
54.0,100,5.996761
44.21875,100,6.059425
12.625,100,6.114887
32.898438,100,6.170595
-4.53125,100,6.232464
47.25,100,6.293199
25.5,100,6.353686
-12.0,100,6.413117
37.25,100,6.476734
52.75,100,6.539132
23.75,100,6.60412
16.875,100,7.978885
66.0,100,8.041122
53.875,100,8.103915
6.25,100,8.167425
25.375,100,8.228197
38.5,100,8.288495
25.8125,100,8.350933
41.625,100,8.413205
50.25,100,8.472062
4.8125,100,8.55023
51.75,100,8.606802
43.9375,100,8.668392
38.5,100,8.724373
37.25,100,8.784526
26.875,100,8.847405
46.1875,100,8.912294
35.5,100,8.974815
32.875,100,9.03127
39.101562,100,9.091163
17.25,100,9.167919
35.25,100,10.311337
58.75,100,10.373307
39.0,100,10.437709
24.0,100,10.498141
50.625,100,10.555378
30.5,100,10.608275
20.0,100,10.666794
62.0,100,10.725243
54.0,100,10.782778
37.25,100,10.858574
34.5,100,10.917314
46.75,100,10.974244
40.5,100,11.025995
53.875,100,11.082483
18.9375,100,11.138507
40.0,100,11.195118
29.984375,100,11.253101
50.0,100,11.309419
24.859375,100,11.363908
49.5,100,11.435833
7.5,100,11.49473
53.5625,100,12.767498
54.25,100,12.841621
39.75,100,12.900546
33.625,100,12.960921
44.453125,100,13.019331
13.5,100,13.075561
47.25,100,13.133996
41.375,100,13.190345
48.0625,100,13.266423
55.625,100,13.322456
35.5,100,13.380903
51.75,100,13.437332
32.25,100,13.49964
34.0,100,13.55924
52.875,100,13.61762
28.625,100,13.679101
38.5,100,13.737778
34.796875,100,13.798123
53.3125,100,13.875665
22.0625,100,13.936953
32.75,100,14.967558
39.484375,100,15.025857
16.5,100,15.078968
31.0,100,15.138881
56.625,100,15.197558
58.875,100,15.249531
45.0,100,15.310382
40.9375,100,15.371396
48.625,100,15.463937
42.875,100,15.525991
40.28125,100,15.585444
40.75,100,15.643036
48.0,100,15.700784
61.5,100,15.761802
50.1875,100,15.820864
37.3125,100,15.880134
57.625,100,16.002344
54.0,100,16.058471
44.125,100,16.131052
53.75,100,16.193799
53.8125,100,16.252916
61.75,100,17.379627
53.921875,100,17.43786
65.75,100,17.504229
40.0625,100,17.567501
59.5,100,17.62982
47.9375,100,17.689046
36.25,100,17.742359
56.859375,100,17.823791
37.4375,100,17.885647
16.5,100,17.951797
47.9375,100,18.010342
45.5,100,18.068489
54.75,100,18.132239
49.8125,100,18.193797
23.875,100,18.254318
55.625,100,18.316887
27.054688,100,18.375702
62.25,100,18.454455
21.75,100,18.519254
54.0,100,18.582213
50.25,100,19.621449
35.25,100,19.706673
42.0,100,19.794251
20.09375,100,19.861914
28.625,100,19.925186
54.75,100,19.988041
20.875,100,20.046376
56.0,100,20.121492
57.75,100,20.179296
33.25,100,20.237069
40.125,100,20.295915
48.625,100,20.350791
55.0,100,20.408509
47.75,100,20.464338
47.875,100,20.525448
70.125,100,20.586657
48.0,100,20.644377
62.125,100,20.72453
47.25,100,20.780881
28.367188,100,20.842322
40.5,100,20.906485
27.0,100,22.046147
48.375,100,22.107581
47.625,100,22.176436
24.0,100,22.237615
39.25,100,22.294381
