#{"t_start": 1718197607.617428, "env_id": "None"}
r,l,t
48.523438,100,1.152082
66.90625,100,1.237953
33.421875,100,1.340181
46.269531,100,1.419313
60.3125,100,1.502982
5.4375,100,1.602312
53.25,100,1.718018
66.0625,100,1.834546
45.0625,100,1.947451
40.140625,100,2.050678
37.625,100,2.274945
50.703125,100,2.369258
53.8125,100,2.466664
36.90625,100,2.554757
25.050781,100,2.654038
46.434814,100,2.783829
41.515625,100,2.887531
66.5625,100,2.979491
64.948242,100,3.06206
19.213074,100,3.143128
21.25,100,4.637815
58.3125,100,4.731716
24.78125,100,4.814862
42.6875,100,4.897868
55.707031,100,4.991243
29.082031,100,5.080862
69.335938,100,5.179507
23.859375,100,5.27549
36.1875,100,5.38122
21.298828,100,5.489306
25.805664,100,5.593311
44.25,100,5.687425
73.6875,100,5.778451
68.078125,100,5.877796
39.097656,100,5.983149
26.125,100,6.086107
27.546875,100,6.198953
27.84375,100,6.295045
8.222656,100,6.376826
33.5,100,6.46082
17.088745,100,8.000475
49.785156,100,8.109008
13.4375,100,8.216695
66.375,100,8.329004
60.035156,100,8.437238
21.5625,100,8.539147
46.4375,100,8.655725
65.25,100,8.774088
10.448425,100,8.883574
61.8125,100,8.988733
74.6875,100,9.109005
20.077148,100,9.21597
29.898438,100,9.324059
25.722656,100,9.437054
36.78125,100,9.549026
23.128906,100,9.656586
30.984375,100,9.77032
59.9375,100,9.902914
43.9375,100,9.986672
39.835938,100,10.075405
39.604492,100,10.167312
27.575439,100,11.920293
1.116211,100,12.040195
56.359375,100,12.159883
59.046875,100,12.270353
41.9375,100,12.379963
67.25,100,12.484642
19.9375,100,12.602721
25.882812,100,12.713252
57.015625,100,12.82416
5.0,100,12.956854
81.414062,100,13.058657
13.414062,100,13.15921
36.484375,100,13.268227
33.148682,100,13.368013
52.5,100,13.466381
30.21875,100,13.568902
56.8125,100,13.654869
65.925781,100,13.737228
39.828125,100,13.820141
48.25,100,13.910367
28.46875,100,15.606383
41.46875,100,15.725388
64.90625,100,15.835227
60.375,100,15.948202
47.90625,100,16.056865
56.34375,100,16.168221
-11.899414,100,16.27018
40.019531,100,16.371867
48.5,100,16.480207
43.765625,100,16.599009
65.273438,100,16.706361
54.796875,100,16.820807
50.390625,100,16.93502
63.826111,100,17.037141
32.961914,100,17.151271
48.5,100,17.253826
24.59375,100,17.349688
46.71875,100,17.440618
27.179688,100,17.527913
40.34375,100,17.627716
39.96875,100,17.716571
22.140625,100,19.496617
39.387939,100,19.60804
45.203125,100,19.720079
63.776367,100,19.833265
61.375,100,19.944187
63.515625,100,20.055127
62.4375,100,20.164182
15.5625,100,20.303298
33.016541,100,20.428484
39.704346,100,20.534267
30.894531,100,20.627839
41.550781,100,20.728285
40.625,100,20.822474
31.65625,100,20.937943
57.90625,100,21.034818
43.991455,100,21.11543
66.4375,100,21.197424
52.460938,100,21.282395
42.765625,100,21.371411
5.859375,100,21.451382
36.398438,100,22.986904
38.578125,100,23.101137
52.546875,100,23.212082
44.375,100,23.321553
53.875,100,23.432819
23.847656,100,23.54164
57.5625,100,23.639674
64.875,100,23.753916
