#{"t_start": 1716971638.247707, "env_id": "None"}
r,l,t
32.0,100,0.617134
12.0,100,0.676562
21.0,100,0.7349
39.0,100,0.796629
28.0,100,0.85785
16.0,100,0.915136
-7.0,100,0.973455
33.0,100,1.027548
39.0,100,1.086701
47.0,100,1.139844
19.0,100,1.261114
21.0,100,1.322726
39.0,100,1.379457
10.0,100,1.438477
26.0,100,1.497553
16.0,100,1.557126
25.0,100,1.620401
38.0,100,1.676787
-6.0,100,1.737705
34.0,100,1.799019
22.0,100,2.941176
20.0,100,3.00255
45.0,100,3.068522
37.0,100,3.12408
38.0,100,3.182494
42.0,100,3.237497
17.0,100,3.292293
42.0,100,3.347341
48.0,100,3.411016
35.0,100,3.466421
18.0,100,3.544625
9.0,100,3.605111
27.0,100,3.664462
29.0,100,3.721654
10.0,100,3.774881
28.0,100,3.835163
33.0,100,3.886213
9.0,100,3.940129
39.0,100,3.993439
34.0,100,4.054539
10.0,100,5.191283
11.0,100,5.252125
44.0,100,5.313009
34.0,100,5.371298
22.0,100,5.430888
34.0,100,5.489939
31.0,100,5.54569
31.0,100,5.602039
27.0,100,5.654797
52.0,100,5.7141
48.0,100,5.7825
32.0,100,5.839117
32.0,100,5.892263
10.0,100,5.953726
17.0,100,6.009484
54.0,100,6.064959
-9.0,100,6.120954
44.0,100,6.189141
58.0,100,6.251364
26.0,100,6.307075
-8.0,100,6.385104
31.0,100,7.4809
36.0,100,7.53966
28.0,100,7.602362
18.0,100,7.667052
31.0,100,7.729471
27.0,100,7.787172
19.0,100,7.846671
6.0,100,7.9052
11.0,100,7.969549
13.0,100,8.037183
36.0,100,8.092182
30.0,100,8.159895
21.0,100,8.220424
5.0,100,8.280422
33.0,100,8.33628
15.0,100,8.389828
29.0,100,8.446207
-20.0,100,8.498407
2.0,100,8.553637
30.0,100,8.616221
35.0,100,9.77253
33.0,100,9.836362
36.0,100,9.909892
45.0,100,9.980899
2.0,100,10.042229
21.0,100,10.104399
45.0,100,10.166425
19.0,100,10.230812
56.0,100,10.295827
35.0,100,10.371126
40.0,100,10.442919
27.0,100,10.504442
35.0,100,10.568657
46.0,100,10.634106
-5.0,100,10.695105
52.0,100,10.75444
4.0,100,10.827583
43.0,100,10.892519
41.0,100,10.955822
22.0,100,11.025827
41.0,100,11.09081
42.0,100,12.300469
19.0,100,12.360154
15.0,100,12.426314
24.0,100,12.486552
40.0,100,12.549953
41.0,100,12.61398
20.0,100,12.674553
45.0,100,12.736629
27.0,100,12.802681
20.0,100,12.865204
36.0,100,12.923461
31.0,100,12.983694
43.0,100,13.042618
1.0,100,13.100052
31.0,100,13.159002
40.0,100,13.215776
30.0,100,13.274151
-1.0,100,13.332923
-2.0,100,13.393944
42.0,100,13.451827
33.0,100,14.381446
41.0,100,14.436686
46.0,100,14.49487
28.0,100,14.551399
41.0,100,14.608855
31.0,100,14.665698
36.0,100,14.723339
10.0,100,14.780934
31.0,100,14.844512
34.0,100,14.902014
45.0,100,14.960072
4.0,100,15.019599
26.0,100,15.076066
32.0,100,15.134541
43.0,100,15.188812
21.0,100,15.240348
19.0,100,15.292851
44.0,100,15.34689
23.0,100,15.404097
18.0,100,15.466034
40.0,100,15.520224
24.0,100,16.480834
38.0,100,16.537169
32.0,100,16.60201
16.0,100,16.659871
35.0,100,16.717932
25.0,100,16.773779
27.0,100,16.83631
28.0,100,16.904369
30.0,100,16.964743
24.0,100,17.024856
15.0,100,17.084187
23.0,100,17.148025
25.0,100,17.205951
27.0,100,17.269774
36.0,100,17.330884
46.0,100,17.387495
11.0,100,17.460592
43.0,100,17.532774
39.0,100,17.59111
31.0,100,17.651118
44.0,100,18.723998
30.0,100,18.788417
36.0,100,18.848811
10.0,100,18.909394
42.0,100,18.966765
18.0,100,19.026023
44.0,100,19.084834
28.0,100,19.173963
25.0,100,19.233007
30.0,100,19.289131
33.0,100,19.346919
21.0,100,19.403962
31.0,100,19.457324
36.0,100,19.509462
