#{"t_start": 1716544181.930531, "env_id": "None"}
r,l,t
8.589844,200,1.117633
19.515625,200,1.283532
45.34375,200,1.488917
59.8125,200,1.676315
98.578125,200,1.885023
97.5625,200,2.193729
79.375,200,2.41702
52.9375,200,2.63315
55.125,200,2.831866
34.0,200,3.009318
31.53125,200,4.756434
55.867188,200,4.968071
31.875,200,5.176924
85.9375,200,5.402078
80.71875,200,5.63483
53.78125,200,5.878506
58.0,200,6.086165
48.898438,200,6.298695
52.375,200,6.526917
93.625,200,6.687835
88.5,200,8.408712
45.3125,200,8.608814
33.21875,200,8.817686
69.65625,200,9.013971
18.90625,200,9.240873
92.828125,200,9.44903
74.125,200,9.626629
56.625,200,9.810889
32.15625,200,9.974827
47.8125,200,10.135362
68.044922,200,11.816716
81.867188,200,12.009521
21.957031,200,12.221321
53.941406,200,12.436051
41.6875,200,12.641786
86.21875,200,12.849076
42.46875,200,13.044302
68.3125,200,13.232248
77.0,200,13.407457
80.5,200,13.554592
61.5625,200,14.946394
46.84375,200,15.113088
44.625,200,15.279503
50.28125,200,15.455752
40.3125,200,15.630817
79.03125,200,15.811403
47.099609,200,15.994166
64.25,200,16.17269
49.126953,200,16.329259
29.992188,200,16.476404
74.914062,200,16.622499
79.03125,200,18.221144
59.046875,200,18.412745
55.71875,200,18.577946
64.34375,200,18.740379
66.875,200,18.911263
81.96875,200,19.082323
88.859375,200,19.29294
50.125,200,19.480732
68.203125,200,19.62699
65.59375,200,19.791591
54.429687,200,21.176383
67.59375,200,21.377403
70.390625,200,21.556662
93.5625,200,21.735869
96.75,200,21.926298
67.625,200,22.102319
95.625,200,22.307816
88.132812,200,22.484101
67.671875,200,22.632817
82.1875,200,22.80023
83.0625,200,24.16474
25.78125,200,24.35907
75.8125,200,24.524587
79.613281,200,24.695034
40.0625,200,24.868267
64.125,200,25.013296
82.359375,200,25.158481
51.21875,200,25.306742
48.246094,200,25.449852
59.0,200,25.590524
61.75,200,26.733514
62.0,200,26.90228
100.71875,200,27.052842
47.527344,200,27.194245
67.777344,200,27.344929
54.546875,200,27.489796
73.375,200,27.655369
63.875,200,27.810081
46.25,200,27.943377
82.359375,200,28.080171
53.5,200,28.213505
68.09375,200,29.372833
50.984375,200,29.52602
50.875,200,29.681552
80.859375,200,29.844471
66.375,200,29.997686
37.878906,200,30.150434
77.078125,200,30.321551
58.40332,200,30.46113
72.882812,200,30.619158
41.5,200,30.754183
72.6875,200,32.10611
81.40625,200,32.306017
39.25,200,32.477823
46.15625,200,32.672863
67.5,200,32.854256
66.25,200,33.022727
23.09375,200,33.206531
101.40625,200,33.350579
71.3125,200,33.49346
33.84375,200,33.63023
77.375,200,34.805952
54.390625,200,34.965312
57.285156,200,35.103286
74.421875,200,35.253337
79.0625,200,35.402255
78.0625,200,35.545538
74.511719,200,35.692319
76.5625,200,35.827096
46.136719,200,35.980613
83.140625,200,36.110047
90.5,200,37.256872
60.5,200,37.424539
67.71875,200,37.565684
68.25,200,37.730823
84.03125,200,37.876071
76.742188,200,38.018458
64.148438,200,38.159631
69.78125,200,38.294783
59.914062,200,38.443629
28.78125,200,38.570835
68.265625,200,38.693613
61.125,200,39.86643
68.71875,200,40.012867
52.09375,200,40.18307
96.976562,200,40.32189
21.035156,200,40.469339
62.125,200,40.60597
71.59375,200,40.736709
81.763428,200,40.872698
88.3125,200,40.997133
75.421875,200,41.120723
64.4375,200,42.299151
42.625,200,42.462684
25.703125,200,42.634017
79.378906,200,42.781338
31.8125,200,42.926555
89.802734,200,43.076313
67.800781,200,43.211262
25.983643,200,43.361667
76.0,200,43.48577
61.5625,200,43.613037
87.828125,200,44.741665
58.71875,200,44.920112
58.4375,200,45.075349
75.1875,200,45.223621
39.757812,200,45.372452
39.96875,200,45.523859
16.15625,200,45.659513
50.28125,200,45.804661
68.109375,200,45.943508
66.96875,200,46.080384
93.375,200,47.341023
25.6875,200,47.523668
99.765625,200,47.704547
51.03125,200,47.891668
83.53125,200,48.073811
104.921875,200,48.245159
69.375,200,48.392489
77.265625,200,48.552349
67.4375,200,48.702846
98.171875,200,48.855702
87.96875,200,49.00814
67.8125,200,50.578967
70.09375,200,50.779088
95.046875,200,50.967881
81.84375,200,51.13858
89.998047,200,51.312387
22.960938,200,51.473389
88.46875,200,51.636924
98.84375,200,51.796224
72.78125,200,51.948928
62.9375,200,52.109064
13.1875,200,53.523488
52.1875,200,53.734949
84.07959,200,53.907442
39.375,200,54.069187
68.59375,200,54.235897
61.484375,200,54.393211
78.8125,200,54.561098
88.5625,200,54.717668
84.4375,200,54.878339
57.078125,200,55.033637
83.953125,200,56.433201
62.957031,200,56.645622
61.066406,200,56.800453
58.375,200,56.957925
83.5,200,57.127843
81.171875,200,57.286299
68.257812,200,57.46379
76.601563,200,57.619256
86.702637,200,57.774042
90.265625,200,57.927734
84.792969,200,59.321995
64.15625,200,59.537828
89.453125,200,59.708326
73.933594,200,59.872247
59.828125,200,60.03043
54.132813,200,60.180569
82.359375,200,60.353408
82.1875,200,60.505918
70.011719,200,60.66244
87.4375,200,60.813368
107.15625,200,60.969387
74.53125,200,62.440713
38.90625,200,62.602713
75.171875,200,62.760169
40.375,200,62.927948
80.828125,200,63.079789
86.484375,200,63.240461
87.21875,200,63.395293
46.65625,200,63.544708
