#{"t_start": 1716388490.998335, "env_id": "None"}
r,l,t
64.0,200,0.612067
56.257812,200,0.712818
46.574219,200,0.817054
53.5625,200,0.918048
86.6875,200,1.03255
73.1875,200,1.19934
68.3125,200,1.311498
53.15625,200,1.421956
98.78125,200,1.530808
58.125,200,1.635312
4.84375,200,2.668011
90.28125,200,2.772109
76.6875,200,2.869434
72.171875,200,2.97029
27.296875,200,3.072103
50.804688,200,3.197652
63.8125,200,3.292873
75.367188,200,3.394326
46.15625,200,3.498549
81.5,200,3.595884
67.53125,200,4.558567
83.0625,200,4.663249
76.1875,200,4.762211
81.703125,200,4.859948
56.09375,200,4.958432
46.179688,200,5.062645
55.78125,200,5.159108
47.5,200,5.254527
74.75,200,5.358512
5.375,200,5.470807
52.0,200,6.537017
82.4375,200,6.642444
30.355469,200,6.74565
44.421875,200,6.850421
47.015625,200,6.954323
72.84375,200,7.059936
25.949219,200,7.15809
83.671875,200,7.25443
69.0,200,7.350706
95.8125,200,7.448322
92.097656,200,8.458528
56.34375,200,8.574467
84.78125,200,8.681481
56.3125,200,8.782556
49.625,200,8.888896
28.771484,200,8.996193
49.90625,200,9.100379
73.671875,200,9.201536
83.0,200,9.299317
64.203125,200,9.407031
58.078125,200,9.51954
94.5,200,10.693413
41.625,200,10.813919
47.34375,200,10.935568
39.746094,200,11.05371
76.273438,200,11.177434
75.125,200,11.293912
35.40625,200,11.406447
20.859375,200,11.518955
79.71875,200,11.626165
68.71875,200,11.745103
94.703125,200,12.857406
76.859375,200,12.975367
34.40625,200,13.094421
57.203125,200,13.203626
71.5,200,13.324998
60.4375,200,13.444866
96.25,200,13.553022
97.4375,200,13.660978
64.5625,200,13.775564
71.65625,200,13.899465
51.5,200,15.038489
84.828125,200,15.172897
25.289062,200,15.29196
53.9375,200,15.40641
64.84375,200,15.52759
97.554687,200,15.641983
68.0625,200,15.756592
101.46875,200,15.867301
64.21875,200,15.965092
49.5,200,16.069574
47.0625,200,17.021517
84.78125,200,17.133138
48.859375,200,17.245078
88.5,200,17.36203
64.6875,200,17.464665
66.09375,200,17.563689
40.0625,200,17.662285
78.734375,200,17.761912
73.796875,200,17.861599
33.109375,200,17.968178
44.0,200,18.077758
94.5625,200,19.048629
36.9375,200,19.160299
46.875,200,19.271983
71.625,200,19.391319
-26.461426,200,19.503062
77.609375,200,19.61306
97.28125,200,19.723328
47.71875,200,19.833633
61.617188,200,19.951442
58.21875,200,20.064571
82.097656,200,21.095677
76.03125,200,21.206984
76.21875,200,21.318801
76.25,200,21.436808
77.203125,200,21.547049
40.1875,200,21.655396
52.289063,200,21.765413
48.375,200,21.873946
98.1875,200,21.991636
45.375,200,22.100308
94.0625,200,23.051167
94.257812,200,23.170342
64.780762,200,23.281628
60.433594,200,23.39987
88.46875,200,23.511305
72.53125,200,23.622406
75.671875,200,23.734
81.578125,200,23.843608
69.71875,200,23.961528
64.65625,200,24.072159
89.625,200,25.055249
69.148438,200,25.168086
97.625,200,25.27975
89.0625,200,25.404931
55.246094,200,25.51738
57.9375,200,25.630108
46.5625,200,25.740941
95.707031,200,25.860987
90.875,200,25.986398
77.3125,200,26.109301
60.525391,200,26.229427
100.75,200,27.452088
65.070312,200,27.605464
81.5625,200,27.759629
70.9375,200,27.902384
60.790527,200,28.046735
60.308594,200,28.18964
94.0,200,28.333226
73.625,200,28.497655
83.5625,200,28.650834
70.335937,200,28.797352
70.53125,200,30.115078
81.71875,200,30.284308
88.0625,200,30.500742
79.312012,200,30.674611
67.90625,200,30.839077
59.25,200,31.007657
85.882813,200,31.172467
17.017578,200,31.407844
50.132813,200,31.584051
65.71875,200,31.765368
61.453125,200,33.432015
62.619141,200,33.615995
82.15625,200,33.801497
89.71875,200,33.971259
91.625,200,34.1398
84.6875,200,34.305761
93.875,200,34.476999
58.640625,200,34.674993
93.976562,200,34.855227
50.9375,200,35.040751
83.875,200,36.535653
30.96875,200,36.700275
91.292969,200,36.877149
80.140625,200,37.04355
45.480469,200,37.210002
29.46875,200,37.369011
71.578125,200,37.533875
73.3125,200,37.705137
65.625,200,37.867559
37.875,200,38.030904
73.5625,200,38.194149
64.234375,200,39.646566
63.320312,200,39.821631
60.0625,200,39.992108
101.1875,200,40.154886
79.808594,200,40.318581
94.09375,200,40.485471
72.5625,200,40.657865
80.375,200,40.822143
61.5,200,40.984179
29.851563,200,41.154109
76.765625,200,42.513338
91.96875,200,42.688535
99.25,200,42.852992
77.875,200,43.021741
79.84375,200,43.188555
74.421875,200,43.358198
91.984375,200,43.55122
106.40625,200,43.714624
66.171875,200,43.885636
48.589844,200,44.066879
67.5625,200,45.741
76.4375,200,45.962642
56.75,200,46.141275
64.765625,200,46.327045
107.71875,200,46.512251
61.140625,200,46.683889
84.28125,200,46.892498
45.328125,200,47.06705
94.21875,200,47.245624
53.867187,200,47.421221
84.5,200,49.204022
84.875,200,49.427449
41.265625,200,49.608114
74.9375,200,49.790569
38.34375,200,49.966599
67.226562,200,50.143093
55.132813,200,50.347821
81.78125,200,50.527252
80.162109,200,50.701818
67.945313,200,50.878931
56.730469,200,51.054967
26.484375,200,52.511839
50.0625,200,52.691349
83.09375,200,52.871392
95.320313,200,53.047367
84.21875,200,53.231096
72.4375,200,53.419705
60.308594,200,53.599237
60.824219,200,53.775377
94.671875,200,53.950692
88.4375,200,54.118999
96.53125,200,55.537821
84.546875,200,55.706521
81.5625,200,55.873109
77.046875,200,56.042956
68.539062,200,56.210556
30.526367,200,56.389348
74.875,200,56.560083
78.655273,200,56.72516
95.569336,200,56.890085
69.3125,200,57.050258
83.578125,200,58.36082
73.890625,200,58.520381
77.625,200,58.68156
73.976562,200,58.84036
77.120117,200,59.00339
87.761719,200,59.172716
89.875,200,59.334279
65.53125,200,59.488291
65.28125,200,59.644172
82.371094,200,59.798583
62.59375,200,61.056823
89.90625,200,61.219082
80.3125,200,61.373157
71.935547,200,61.530582
54.351562,200,61.685007
76.179687,200,61.850342
93.171875,200,62.00408
76.9375,200,62.15631
58.875,200,62.305573
79.40625,200,62.455823
58.875,200,62.625178
44.3125,200,63.870017
35.25,200,64.025668
88.40625,200,64.17822
91.097656,200,64.3275
81.65625,200,64.487071
78.015625,200,64.637227
74.8125,200,64.793601
68.625,200,64.946932
84.710449,200,65.094262
72.866943,200,65.246419
61.210938,200,66.729545
77.740234,200,66.890105
67.21875,200,67.036482
61.0625,200,67.182482
86.37207,200,67.339504
62.0,200,67.483686
61.9375,200,67.629561
87.976562,200,67.774199
85.46875,200,67.918357
