#{"t_start": 1716368935.700475, "env_id": "None"}
r,l,t
55.359375,200,1.24816
-1.0625,200,1.372232
40.578125,200,1.491878
74.59375,200,1.61755
71.34375,200,1.736574
44.375,200,1.95831
85.5625,200,2.082925
51.5,200,2.210537
56.9375,200,2.32953
69.328125,200,2.448878
66.5625,200,3.75009
94.03125,200,3.885287
61.296875,200,4.002252
71.09375,200,4.120028
68.4375,200,4.263165
67.6875,200,4.426264
46.0,200,4.560077
35.5,200,4.69409
70.28125,200,4.836127
70.21875,200,5.123768
54.125,200,6.439413
48.5,200,6.594297
79.75,200,6.720706
58.3125,200,6.843704
97.78125,200,6.985457
31.304688,200,7.130909
35.875,200,7.262965
71.3125,200,7.390108
66.875,200,7.526598
50.375,200,7.690875
87.484375,200,9.01997
81.125,200,9.154259
64.15625,200,9.296776
78.84375,200,9.420494
77.773438,200,9.538979
13.730469,200,9.675901
62.6875,200,9.78387
62.242188,200,9.897875
92.460938,200,10.020694
61.546875,200,10.138034
44.34375,200,11.538103
72.515625,200,11.693201
82.6875,200,11.872649
22.734375,200,12.005741
74.4375,200,12.140407
90.53125,200,12.29615
64.21875,200,12.427824
75.359375,200,12.560213
93.96875,200,12.697067
62.09375,200,12.839164
50.601562,200,12.988658
59.96875,200,14.435205
31.25,200,14.573075
48.75,200,14.69917
6.0625,200,14.832629
85.398438,200,14.962756
59.21875,200,15.082788
66.046875,200,15.198113
63.671875,200,15.318463
81.5,200,15.438952
79.640625,200,15.567619
97.15625,200,16.864383
96.625,200,17.011849
84.84375,200,17.137616
94.9375,200,17.259294
48.978516,200,17.395508
80.46875,200,17.513464
64.875,200,17.62866
94.703125,200,17.742973
39.25,200,17.861525
56.75,200,17.996192
72.328125,200,19.225448
79.625,200,19.374514
50.1875,200,19.509033
56.605469,200,19.636765
56.0625,200,19.767808
80.109375,200,19.884522
66.625,200,20.004638
67.585938,200,20.120364
68.5,200,20.241558
68.875,200,20.385279
40.59375,200,21.527369
93.40625,200,21.663298
49.484375,200,21.803383
72.40625,200,21.93077
27.65625,200,22.073656
58.792969,200,22.193845
69.59375,200,22.310024
80.09375,200,22.427745
72.34375,200,22.544291
33.6875,200,22.666655
44.617188,200,22.780397
95.5,200,23.872042
55.445313,200,23.987925
65.34375,200,24.104233
80.375,200,24.228697
90.875,200,24.345879
52.796875,200,24.460729
69.640625,200,24.573736
