#{"t_start": 1717592066.477912, "env_id": "None"}
r,l,t
-128.0,400,1.788604
-101.0,400,2.195277
-141.0,400,2.714952
-100.0,400,3.125287
-97.0,400,3.552276
-105.0,400,6.198277
-107.0,400,6.652481
-94.0,400,7.111744
-97.0,400,7.546001
-103.0,400,7.955152
-117.0,400,10.313089
-108.0,400,10.764893
-125.0,400,11.217061
-98.0,400,11.631278
-77.0,400,12.041733
-110.0,400,14.242284
-115.0,400,14.715031
-102.0,400,15.164418
-113.0,400,15.59231
-109.0,400,15.953925
-83.0,400,17.969976
-116.0,400,18.408592
-134.0,400,18.868494
-102.0,400,19.345355
-137.0,400,19.803432
-110.0,400,22.054634
-93.0,400,22.511044
-130.0,400,22.999112
-91.0,400,23.476206
-85.0,400,23.955325
-95.0,400,26.266421
-83.0,400,26.742543
-113.0,400,27.268543
-122.0,400,27.76356
-80.0,400,28.264157
-128.0,400,30.687853
-108.0,400,31.135858
-84.0,400,31.589332
-123.0,400,32.064958
-105.0,400,32.529365
-85.0,400,34.82694
-116.0,400,35.255254
-100.0,400,35.667219
-104.0,400,36.098189
-92.0,400,36.546342
-96.0,400,37.068747
-80.0,400,39.524211
-98.0,400,40.045354
-95.0,400,40.501611
-121.0,400,40.962158
-126.0,400,41.464945
-88.0,400,43.949746
-145.0,400,44.389107
-122.0,400,44.802537
-113.0,400,45.233057
-111.0,400,45.660488
-98.0,400,47.903944
-92.0,400,48.352868
-97.0,400,48.777483
-97.0,400,49.181934
-100.0,400,49.604522
-101.0,400,52.116338
-91.0,400,52.593158
-68.0,400,53.016644
-97.0,400,53.452229
-113.0,400,53.900802
-127.0,400,56.21558
-71.0,400,56.689469
-106.0,400,57.151861
-79.0,400,57.602869
-85.0,400,58.076959
-93.0,400,60.393239
-78.0,400,60.91135
-95.0,400,61.397432
-146.0,400,61.864075
-82.0,400,62.329369
-89.0,400,64.561321
-70.0,400,65.086624
-91.0,400,65.569452
-110.0,400,66.05145
-75.0,400,66.572645
-70.0,400,68.657977
-109.0,400,69.138504
-99.0,400,69.605832
-87.0,400,70.064527
-117.0,400,70.549786
-62.0,400,70.993598
-94.0,400,73.0513
-84.0,400,73.519265
-95.0,400,73.979033
-100.0,400,74.466094
-135.0,400,74.920443
-80.0,400,76.903652
-81.0,400,77.326068
-90.0,400,77.782527
-82.0,400,78.276037
-91.0,400,78.738732
-73.0,400,80.853089
-70.0,400,81.252964
-86.0,400,81.731741
-124.0,400,82.245468
-68.0,400,82.728237
-102.0,400,85.247807
-86.0,400,85.704957
-69.0,400,86.132907
-78.0,400,86.651383
-61.0,400,87.110491
-86.0,400,89.673403
-68.0,400,90.134303
-73.0,400,90.562034
-59.0,400,91.033052
-83.0,400,91.484463
-73.0,400,93.767562
-106.0,400,94.255112
-73.0,400,94.678047
-108.0,400,95.138481
-88.0,400,95.614127
-87.0,400,98.005187
-90.0,400,98.559332
-68.0,400,99.127793
-77.0,400,99.719995
-108.0,400,100.340051
-64.0,400,103.751738
-81.0,400,104.312772
-88.0,400,105.011868
-118.0,400,105.580532
-72.0,400,106.096802
-78.0,400,106.643442
-97.0,400,109.716595
-62.0,400,110.2566
-106.0,400,110.845951
-124.0,400,111.42734
-86.0,400,111.942942
-128.0,400,114.386862
-80.0,400,114.913114
-88.0,400,115.44702
-91.0,400,115.970533
