#{"t_start": 1720015102.095938, "env_id": "None"}
r,l,t
-30.802975,100,1.635639
-21.479885,100,1.861666
-34.455912,100,2.07091
-8.06479,100,2.259134
-31.636697,100,2.411988
-12.369092,100,2.571224
-33.142184,100,2.765472
-27.665701,100,2.963331
-4.423877,100,3.145974
-18.007986,100,3.379016
-18.919453,100,3.66175
-37.85057,100,3.843737
-38.012,100,4.026284
-25.133511,100,4.204594
-17.024423,100,4.381567
-9.79513,100,4.560252
-11.230515,100,4.743128
-29.751596,100,4.899213
-24.179595,100,5.040187
-14.731238,100,5.184799
-3.015757,100,7.888928
-10.186819,100,8.097132
-21.296627,100,8.310511
-12.93848,100,8.605363
-31.108043,100,8.810515
-11.764664,100,9.023819
-34.765981,100,9.247975
-20.617242,100,9.459012
-10.198148,100,9.680686
-26.83498,100,9.891897
-5.835499,100,10.161454
-42.230296,100,10.388888
-12.284053,100,10.612873
-29.573524,100,10.833132
-39.217793,100,11.049169
-14.806096,100,11.325756
-12.644904,100,11.533678
-13.101803,100,11.735637
-37.444913,100,11.947123
-26.500502,100,12.133946
-32.023038,100,14.549183
-31.535548,100,14.750724
-28.059624,100,14.910705
-31.270562,100,15.056655
-28.382085,100,15.208569
-20.644998,100,15.355405
-25.82157,100,15.503456
-10.142188,100,15.665814
-21.094408,100,15.837235
-32.53368,100,16.023577
-13.480224,100,16.242916
-27.36349,100,16.502027
-19.648079,100,16.699604
-28.312109,100,16.905631
-35.145713,100,17.118622
-27.500658,100,17.323363
-14.514189,100,17.541787
-10.633229,100,17.752934
-6.653419,100,17.969286
-19.412173,100,18.182162
-13.6838,100,18.410767
-19.597071,100,21.555608
-26.594089,100,21.717481
-20.820823,100,21.942214
-19.558731,100,22.098142
-25.750282,100,22.244852
-23.138052,100,22.397688
-17.774544,100,22.586045
-18.217913,100,22.770232
-30.047231,100,22.965234
-17.700246,100,23.175278
-12.436316,100,23.377939
-13.806695,100,23.572419
-21.797689,100,23.774303
-27.636927,100,23.964061
-7.539605,100,24.140247
-15.485298,100,24.341045
-4.158747,100,24.536849
-17.918967,100,24.790373
-25.805643,100,24.967054
-14.005088,100,25.136865
-18.519772,100,27.594078
-19.652509,100,27.800096
-28.096019,100,27.997427
