#{"t_start": 1720006666.1147761, "env_id": "None"}
r,l,t
-47.299964,100,1.033954
-53.175932,100,1.24905
-47.260942,100,1.461335
-56.984268,100,1.683939
-55.567731,100,1.895101
-45.820054,100,2.105522
-58.686727,100,2.315169
-52.142334,100,2.524907
-50.820442,100,2.734787
-47.238916,100,2.946823
-55.148481,100,3.240051
-46.509006,100,3.450384
-43.049576,100,3.667697
-54.563083,100,3.883018
-48.277161,100,4.094912
-55.930967,100,4.306452
-49.068118,100,4.51969
-52.32199,100,4.731379
-53.714565,100,4.943387
-45.333174,100,5.153888
-53.98388,100,7.842027
-52.065795,100,8.103934
-56.398869,100,8.413198
-49.69641,100,8.638728
-55.007458,100,8.862483
-42.837821,100,9.091734
-52.608688,100,9.311672
-45.783357,100,9.528843
-34.304999,100,9.757069
-50.716501,100,9.99161
-52.563083,100,10.251546
-49.067343,100,10.477548
-50.009394,100,10.711238
-51.651193,100,10.934756
-48.531809,100,11.211836
-38.344405,100,11.456309
-35.03452,100,11.677764
-51.862948,100,11.905525
-45.313471,100,12.126867
-40.736592,100,12.385359
-50.738916,100,15.360572
-47.794928,100,15.605051
-49.893834,100,15.827385
-51.157777,100,16.047984
-51.3583,100,16.265943
-56.70953,100,16.494086
-50.22962,100,16.720595
-45.536844,100,16.962728
-44.008618,100,17.182037
-54.939051,100,17.40252
-49.211465,100,17.635805
-45.034133,100,17.875714
-49.719213,100,18.143409
-46.193698,100,18.421563
-52.022514,100,18.692662
-49.016366,100,18.963597
-57.568118,100,19.217598
-45.235044,100,19.537407
-49.878779,100,19.811296
-41.105976,100,20.046847
-43.433291,100,20.296681
-49.031809,100,22.666794
-55.671672,100,22.894938
-47.916636,100,23.125224
-43.531421,100,23.371091
-48.464565,100,23.611446
-56.82199,100,23.866164
-51.486592,100,24.199841
-52.405841,100,24.459691
-56.052675,100,24.730768
-48.95953,100,25.006712
-51.025225,100,25.229764
-47.249711,100,25.479175
-56.673608,100,25.724459
-53.272901,100,25.945329
-47.29764,100,26.163892
-41.324314,100,26.383144
-38.447958,100,26.601502
-52.468437,100,26.831104
-54.923608,100,27.055012
-51.529485,100,27.284176
-51.504359,100,29.984913
-51.836273,100,30.267983
-55.444086,100,30.484031
-49.20067,100,30.701815
-41.781421,100,30.919721
-52.655841,100,31.134827
-57.741627,100,31.358464
-45.47962,100,31.58158
-51.323926,100,31.804628
-58.615659,100,32.044119
-53.79764,100,32.261834
-54.522126,100,32.490526
-46.855976,100,32.709441
-49.031809,100,32.92979
-44.099828,100,33.152191
-60.086273,100,33.466767
-48.218437,100,33.736179
-52.916248,100,34.028918
-48.599828,100,34.29526
-37.237368,100,34.57037
-58.25707,100,34.861283
-46.461853,100,37.197673
-50.971149,100,37.418258
-42.302287,100,37.638205
-55.754747,100,37.856135
-50.653905,100,38.098717
-48.486592,100,38.324696
-51.42322,100,38.634232
-48.885362,100,38.907135
-43.575862,100,39.200119
-53.362172,100,39.492492
-46.754747,100,39.756548
-49.337821,100,40.023211
-36.986592,100,40.300031
-57.459917,100,40.551308
-49.022514,100,40.775232
-56.675544,100,40.997621
-49.155453,100,41.220314
-55.548028,100,41.444496
-52.464565,100,41.672524
-53.694086,100,41.890346
-47.401193,100,44.572445
-50.360624,100,44.904331
-49.313471,100,45.201001
-50.95377,100,45.480655
-56.77019,100,45.758777
-42.544928,100,46.017257
-54.549964,100,46.245216
-54.916636,100,46.461202
-52.045316,100,46.689034
-56.209917,100,46.975022
-36.678643,100,47.191012
-43.879167,100,47.410566
-53.581626,100,47.633174
-50.347504,100,47.852797
-44.498163,100,48.077206
-52.711853,100,48.294032
-55.378391,100,48.512337
-56.698734,100,48.728149
-47.614883,100,48.958765
-58.590533,100,49.197698
-45.79764,100,49.438389
-51.317731,100,52.042789
-38.471149,100,52.261331
-48.466501,100,52.4795
-44.254359,100,52.698486
-51.691375,100,52.920494
-45.239691,100,53.137508
-50.676319,100,53.356555
-56.625679,100,53.592085
-49.238916,100,53.819478
-56.070054,100,54.044727
-48.20067,100,54.293341
-48.087821,100,54.58604
-50.11256,100,54.822991
-58.590921,100,55.070821
-46.98698,100,55.303958
-53.811195,100,55.538166
-55.489691,100,55.770105
-56.083174,100,55.999643
-51.070054,100,56.217313
-57.896158,100,56.429797
-56.441375,100,58.679465
-51.459142,100,58.926129
-52.878391,100,59.169157
-49.481556,100,59.410628
-51.338209,100,59.678005
-51.533357,100,60.02638
-44.1083,100,60.275793
-48.476909,100,60.548227
-50.507458,100,60.843902
-51.16896,100,61.098056
-43.675544,100,61.314556
-47.943698,100,61.531537
-57.381102,100,61.758664
-59.522901,100,61.985673
-57.802287,100,62.205067
-55.757458,100,62.420119
-50.052287,100,62.633674
-59.083174,100,62.853726
